Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details"
"November 30, 2025",Tax,"Tax: transaction","Order #3889636983",USD,--,-$0.04,-$0.04,--
"November 30, 2025",Fee,"Transaction fee: Shipping","Order #3889636983",USD,--,-$0.32,-$0.32,--
"November 30, 2025",Fee,"Transaction fee: Skateboard Shelf Mounts: Floating Skateb...","Order #3889636983",USD,--,-$0.73,-$0.73,--
"November 30, 2025",Tax,"Sales tax paid by buyer","Order #3889636983",USD,--,-$1.09,-$1.09,--
"November 30, 2025",Fee,"Processing fee","Order #3889636983",USD,--,-$0.77,-$0.77,--
"November 30, 2025",Sale,"Payment for Order #3889636983",,USD,$17.25,--,$17.25,--
"November 30, 2025",Fee,"Listing fee","Listing #4389560293",USD,--,-$0.20,-$0.20,--
"November 30, 2025",Tax,"Tax: transaction","Order #3883506262",USD,--,-$0.07,-$0.07,--
"November 30, 2025",Fee,"Transaction fee: Shipping","Order #3883506262",USD,--,-$0.54,-$0.54,--
"November 30, 2025",Fee,"Transaction fee: Rotating Photo Reel | Polaroid & Instax ...","Order #3883506262",USD,--,-$1.46,-$1.46,--
"November 30, 2025",Tax,"Sales tax paid by buyer","Order #3883506262",USD,--,-$1.74,-$1.74,--
"November 30, 2025",Fee,"Processing fee","Order #3883506262",USD,--,-$1.23,-$1.23,--
"November 30, 2025",Sale,"Payment for Order #3883506262",,USD,$32.54,--,$32.54,--
"November 30, 2025",Fee,"Listing fee","Listing #4387205694",USD,--,-$0.20,-$0.20,--
"November 30, 2025",Tax,"Tax: transaction","Order #3883133162",USD,--,-$0.12,-$0.12,--
"November 30, 2025",Fee,"Transaction fee: Customizable Bonsai Tree Jewelry Organiz...","Order #3883133162",USD,--,-$2.44,-$2.44,--
"November 30, 2025",Tax,"Sales tax paid by buyer","Order #3883133162",USD,--,-$3.10,-$3.10,--
"November 30, 2025",Fee,"Processing fee","Order #3883133162",USD,--,-$1.47,-$1.47,--
"November 30, 2025",Sale,"Payment for Order #3883133162",,USD,$40.59,--,$40.59,--
"November 30, 2025",Fee,"Listing fee","Listing #4410189351",USD,--,-$0.20,-$0.20,--
"November 30, 2025",Tax,"Tax: transaction","Order #3888295195",USD,--,-$0.05,-$0.05,--
"November 30, 2025",Fee,"Transaction fee: Shipping","Order #3888295195",USD,--,-$0.80,-$0.80,--
"November 30, 2025",Fee,"Transaction fee: Deluxe Miniature Ski Lift Chair Ornament...","Order #3888295195",USD,--,-$0.97,-$0.97,--
"November 30, 2025",Tax,"Sales tax paid by buyer","Order #3888295195",USD,--,-$1.80,-$1.80,--
"November 30, 2025",Fee,"Processing fee","Order #3888295195",USD,--,-$1.12,-$1.12,--
"November 30, 2025",Sale,"Payment for Order #3888295195",,USD,$29.04,--,$29.04,--
"November 30, 2025",Fee,"Listing fee","Listing #4410735065",USD,--,-$0.20,-$0.20,--
"November 30, 2025",Shipping,"Adjustment for USPS shipping label","Adjustment #288693541779",USD,--,-$1.84,-$1.84,--
"November 30, 2025",Shipping,"Credit for USPS shipping label adjustment","Adjustment #288986899174",USD,--,$1.24,$1.24,--
