Date,Type,Title,Info,Currency,Amount,Fees & Taxes,Net,Tax Details,Amount_Clean,Net_Clean,Fees_Clean,Date_Parsed,Month
"October 31, 2025",Fee,Transaction fee: Shipping,Order #3844871551,USD,--,-$0.99,-$0.99,--,0.0,-0.99,-0.99,2025-10-31,2025-10
"October 31, 2025",Fee,Transaction fee: Modern Hourglass Wall Sconce: Woven Gril...,Order #3844871551,USD,--,-$3.22,-$3.22,--,0.0,-3.22,-3.22,2025-10-31,2025-10
"October 31, 2025",Tax,Sales tax paid by buyer,Order #3844871551,USD,--,-$4.53,-$4.53,--,0.0,-4.53,-4.53,2025-10-31,2025-10
"October 31, 2025",Fee,Processing fee,Order #3844871551,USD,--,-$2.33,-$2.33,--,0.0,-2.33,-2.33,2025-10-31,2025-10
"October 31, 2025",Sale,Payment for Order #3844871551,,USD,$69.20,--,$69.20,--,69.2,69.2,0.0,2025-10-31,2025-10
"October 31, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-31,2025-10
"October 31, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 30, 2025",USD,--,-$2.50,-$2.50,--,0.0,-2.5,-2.5,2025-10-31,2025-10
"October 31, 2025",Fee,Transaction fee: Shipping,Order #3844441783,USD,--,-$0.33,-$0.33,--,0.0,-0.33,-0.33,2025-10-31,2025-10
"October 31, 2025",Fee,Transaction fee: The Ledge: Skateboard Shelf Mounts,Order #3844441783,USD,--,-$2.63,-$2.63,--,0.0,-2.63,-2.63,2025-10-31,2025-10
"October 31, 2025",Tax,Sales tax paid by buyer,Order #3844441783,USD,--,-$2.43,-$2.43,--,0.0,-2.43,-2.43,2025-10-31,2025-10
"October 31, 2025",Sale,Payment for Order #3844441783,,USD,$48.03,--,$48.03,--,48.03,48.03,0.0,2025-10-31,2025-10
"October 31, 2025",Fee,Processing fee,Order #3844441783,USD,--,-$1.69,-$1.69,--,0.0,-1.69,-1.69,2025-10-31,2025-10
"October 31, 2025",Fee,Listing fee,Listing #4389560293,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-31,2025-10
"October 31, 2025",Fee,Listing fee,Listing #4389560293,USD,--,-$1.00,-$1.00,--,0.0,-1.0,-1.0,2025-10-31,2025-10
"October 30, 2025",Shipping,USPS shipping label,Label #287610098851,USD,--,-$8.31,-$8.31,--,0.0,-8.31,-8.31,2025-10-30,2025-10
"October 30, 2025",Deposit,$68.87 sent to your bank account,,USD,--,--,--,--,0.0,0.0,0.0,2025-10-30,2025-10
"October 30, 2025",Shipping,USPS shipping label,Label #286729413416,USD,--,-$7.17,-$7.17,--,0.0,-7.17,-7.17,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4395632104,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4395629670,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 30, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 29, 2025",USD,--,-$2.50,-$2.50,--,0.0,-2.5,-2.5,2025-10-30,2025-10
"October 30, 2025",Fee,Transaction fee: Shipping,Order #3842441750,USD,--,-$0.47,-$0.47,--,0.0,-0.47,-0.47,2025-10-30,2025-10
"October 30, 2025",Fee,Transaction fee: Desk Organizer Station | Custom Headphon...,Order #3842441750,USD,--,-$0.97,-$0.97,--,0.0,-0.97,-0.97,2025-10-30,2025-10
"October 30, 2025",Tax,Sales tax paid by buyer,Order #3842441750,USD,--,-$1.24,-$1.24,--,0.0,-1.24,-1.24,2025-10-30,2025-10
"October 30, 2025",Sale,Payment for Order #3842441750,,USD,$23.50,--,$23.50,--,23.5,23.5,0.0,2025-10-30,2025-10
"October 30, 2025",Fee,Processing fee,Order #3842441750,USD,--,-$0.96,-$0.96,--,0.0,-0.96,-0.96,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4389039835,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4395548247,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #286694156180,USD,--,-$8.31,-$8.31,--,0.0,-8.31,-8.31,2025-10-29,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #287526034299,USD,--,-$11.01,-$11.01,--,0.0,-11.01,-11.01,2025-10-29,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #286693937372,USD,--,-$7.96,-$7.96,--,0.0,-7.96,-7.96,2025-10-29,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #287525826043,USD,--,-$8.64,-$8.64,--,0.0,-8.64,-8.64,2025-10-29,2025-10
"October 29, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 28, 2025",USD,--,-$2.50,-$2.50,--,0.0,-2.5,-2.5,2025-10-29,2025-10
"October 28, 2025",Fee,Transaction fee: Shipping,Order #3842146017,USD,--,-$1.17,-$1.17,--,0.0,-1.17,-1.17,2025-10-28,2025-10
"October 28, 2025",Fee,Transaction fee: Modern Hourglass Wall Sconce: Beige Wove...,Order #3842146017,USD,--,-$6.43,-$6.43,--,0.0,-6.43,-6.43,2025-10-28,2025-10
"October 28, 2025",Tax,Sales tax paid by buyer,Order #3842146017,USD,--,-$7.37,-$7.37,--,0.0,-7.37,-7.37,2025-10-28,2025-10
"October 28, 2025",Fee,Processing fee,Order #3842146017,USD,--,-$3.98,-$3.98,--,0.0,-3.98,-3.98,2025-10-28,2025-10
"October 28, 2025",Sale,Payment for Order #3842146017,,USD,$124.42,--,$124.42,--,124.42,124.42,0.0,2025-10-28,2025-10
"October 28, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-28,2025-10
"October 28, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-28,2025-10
"October 28, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 27, 2025",USD,--,-$1.55,-$1.55,--,0.0,-1.55,-1.55,2025-10-28,2025-10
"October 27, 2025",Fee,Transaction fee: Shipping,Order #3840933963,USD,--,-$0.54,-$0.54,--,0.0,-0.54,-0.54,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Unique Spinning Photo Reel - Polaroid & ...,Order #3840933963,USD,--,-$0.78,-$0.78,--,0.0,-0.78,-0.78,2025-10-27,2025-10
"October 27, 2025",Tax,Sales tax paid by buyer,Order #3840933963,USD,--,-$1.22,-$1.22,--,0.0,-1.22,-1.22,2025-10-27,2025-10
"October 27, 2025",Fee,Processing fee,Order #3840933963,USD,--,-$0.90,-$0.90,--,0.0,-0.9,-0.9,2025-10-27,2025-10
"October 27, 2025",Sale,Payment for Order #3840933963,,USD,$21.52,--,$21.52,--,21.52,21.52,0.0,2025-10-27,2025-10
"October 27, 2025",Fee,Listing fee,Listing #4387205694,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-27,2025-10
"October 27, 2025",Deposit,$135.85 sent to your bank account,,USD,--,--,--,--,0.0,0.0,0.0,2025-10-27,2025-10
"October 27, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 26, 2025",USD,--,-$3.09,-$3.09,--,0.0,-3.09,-3.09,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Shipping,Order #3840640815,USD,--,-$0.54,-$0.54,--,0.0,-0.54,-0.54,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Modern Geometric Tray | Desktop Organize...,Order #3840640815,USD,--,-$0.73,-$0.73,--,0.0,-0.73,-0.73,2025-10-27,2025-10
